Dimension_0	Dimension_1	Dimension_2	Dimension_3	Dimension_4	DataSet	KxCount	Weight	TargetMean	Variance	NormalProfit
1	1	0	4	1	0	13	13	0.30769230769230771	0.0078895463510848148	0
1	1	0	4	2	0	4	4	0.25	0.020833333333333336	0
1	1	0	4	3	0	3	3	0.66666666666666663	0.055555555555555552	0
1	1	0	4	0	1	2	2	0.5	0.25	0
1	1	0	4	1	1	5	5	0	0	0
1	1	0	4	3	1	1	1	0	0	0
1	1	1	0	0	0	41	41	0	0	0
1	1	1	0	1	0	91	91	0.054945054945054944	3.3543989587945632e-005	0
1	1	1	0	2	0	30	30	0.03333333333333334	3.831417624521074e-005	0
1	1	1	0	3	0	11	11	0.27272727272727271	0.007438016528925619	0
1	1	1	0	0	1	17	17	0.1764705882352941	0.042387543252595153	0
1	1	1	0	1	1	27	27	0.074074074074074098	0.0002110372480742852	0
1	1	1	0	2	1	10	10	0	0	0
1	1	1	0	3	1	2	2	0	0	0
1	1	1	1	0	0	12	12	0.16666666666666669	0.0025252525252525255	0
1	1	1	1	1	0	19	19	0.052631578947368432	0.00015389350569405976	0
1	1	1	1	2	0	5	5	0	0	0
1	1	1	1	0	1	1	1	0	0	0
1	1	1	1	1	1	4	4	0	0	0
1	1	1	1	2	1	1	1	0	0	0
1	1	1	2	0	0	28	28	0.10714285714285716	0.00042517006802721103	0
1	1	1	2	1	0	45	45	0.022222222222222223	1.122334455667789e-005	0
1	1	1	2	2	0	16	16	0	0	0
1	1	1	2	3	0	2	2	0	0	0
1	1	1	2	0	1	9	9	0.11111111111111113	0.0015432098765432104	0
1	1	1	2	1	1	13	13	0	0	0
1	1	1	2	2	1	4	4	0	0	0
1	1	1	2	3	1	3	3	0	0	0
1	1	1	3	0	0	50	50	0	0	0
1	1	1	3	1	0	93	93	0.043010752688172046	2.0107878769598904e-005	0
1	1	1	3	2	0	35	35	0	0	0
1	1	1	3	3	0	15	15	0.06666666666666668	0.00031746031746031751	0
1	1	1	3	0	1	12	12	0	0	0
1	1	1	3	1	1	36	36	0.055555555555555552	8.8183421516754856e-005	0
1	1	1	3	2	1	14	14	0.071428571428571425	0.00039246467817896386	0
1	1	1	3	3	1	11	11	0	0	0
1	1	1	4	0	0	7	7	0.14285714285714288	0.0034013605442176878	0
1	1	1	4	1	0	13	13	0.23076923076923075	0.0044378698224852055	0
1	1	1	4	2	0	6	6	0.16666666666666669	0.0055555555555555558	0
1	1	1	4	3	0	3	3	0	0	0
1	1	1	4	1	1	5	5	0.20000000000000001	0.010000000000000002	0
1	1	1	4	2	1	2	2	0.5	0.25	0
1	2	0	0	0	0	49	49	0.061224489795918359	7.8092461474385652e-005	0
1	2	0	0	1	0	85	85	0.20000000000000004	0.0004761904761904763	0
1	2	0	0	2	0	24	24	0.16666666666666666	0.001207729468599034	0
1	2	0	0	3	0	15	15	0.46666666666666667	0.015555555555555555	0
